body_0_x,body_0_y,body_0_z
-0.176946,-0.093533,0.693455
-0.176935,-0.094382,0.691480
-0.177204,-0.094573,0.689502
-0.177533,-0.094822,0.687549
-0.177980,-0.095186,0.685647
-0.178696,-0.095755,0.683760
-0.179545,-0.096427,0.681880
-0.180483,-0.097036,0.680752
-0.181425,-0.097593,0.679818
-0.182376,-0.098046,0.679274
-0.183326,-0.098442,0.678847
-0.184276,-0.098810,0.678479
-0.185104,-0.099095,0.678279
-0.185866,-0.099352,0.678119
-0.186497,-0.099554,0.678037
-0.186969,-0.099702,0.677997
-0.187362,-0.099823,0.677977
-0.187495,-0.099864,0.677976
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
-0.187583,-0.099890,0.677975
