joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.278308,-0.667225,-0.571350,0.433299,-0.246264,-0.040590,0.372912,0.036833,0.207003,1.410083,1.218552,-1.458433,0.769835,-0.544808,-0.457422,1.393908,-1.487764,-0.125315,0.041656,-1.377111,-0.740790,0.878085,1.204206,0.385249,-0.209212,-0.233537,-0.119598,-0.192620,0.291336
0.278308,-0.667225,-0.571350,0.433299,-0.246264,-0.040590,0.372912,0.036833,0.207003,1.410083,1.218552,-1.458433,0.769835,-0.544808,-0.457422,1.393908,-1.487764,-0.125315,0.041656,-1.377111,-0.740790,0.878085,1.204206,0.385249,-0.209212,-0.233537,-0.119598,-0.192620,0.291336
0.278308,-0.667225,-0.571350,0.433299,-0.246264,-0.040590,0.372912,0.036833,0.207003,1.410083,1.218552,-1.458433,0.769835,-0.544808,-0.457422,1.393908,-1.487764,-0.125315,0.041656,-1.377111,-0.740790,0.878085,1.204206,0.385249,-0.209212,-0.233537,-0.119598,-0.192620,0.291336
0.278308,-0.667225,-0.571350,0.433299,-0.246264,-0.040590,0.372912,0.036833,0.207003,1.410083,1.218552,-1.458433,0.769835,-0.544808,-0.457422,1.393908,-1.487764,-0.125315,0.041656,-1.377111,-0.740790,0.878085,1.204206,0.385249,-0.209212,-0.233537,-0.119598,-0.192620,0.291336
0.278308,-0.667225,-0.571350,0.433299,-0.246264,-0.040590,0.372912,0.036833,0.207003,1.410083,1.218552,-1.458433,0.769835,-0.544808,-0.457422,1.393908,-1.487764,-0.125315,0.041656,-1.377111,-0.740790,0.878085,1.204206,0.385249,-0.209212,-0.233537,-0.119598,-0.192620,0.291336
0.278303,-0.667464,-0.571347,0.433032,-0.246089,-0.040590,0.372910,0.036946,0.207439,1.410624,1.218640,-1.457474,0.769515,-0.544740,-0.457585,1.394456,-1.487602,-0.125251,0.041485,-1.376543,-0.741721,0.879236,1.203999,0.384722,-0.208423,-0.233504,-0.119474,-0.193104,0.290981
0.278295,-0.667822,-0.571341,0.432632,-0.245827,-0.040589,0.372908,0.037117,0.208092,1.411435,1.218772,-1.456035,0.769035,-0.544638,-0.457828,1.395279,-1.487360,-0.125155,0.041229,-1.375692,-0.743118,0.880962,1.203689,0.383932,-0.207239,-0.233454,-0.119289,-0.193829,0.290448
0.278176,-0.668873,-0.571261,0.431386,-0.245046,-0.040579,0.372872,0.037629,0.210090,1.413967,1.219196,-1.451525,0.767572,-0.544295,-0.458570,1.397695,-1.486624,-0.124875,0.040450,-1.372938,-0.747366,0.886232,1.202743,0.381529,-0.203633,-0.233281,-0.118724,-0.196050,0.288827
0.277926,-0.670118,-0.571091,0.429825,-0.244108,-0.040556,0.372797,0.038250,0.212550,1.417144,1.219741,-1.445846,0.765776,-0.543838,-0.459477,1.400553,-1.485723,-0.124546,0.039495,-1.369379,-0.752562,0.892707,1.201581,0.378587,-0.199210,-0.233043,-0.118034,-0.198789,0.286843
0.277411,-0.671749,-0.570742,0.427635,-0.242858,-0.040509,0.372643,0.039084,0.215935,1.421611,1.220528,-1.437829,0.763316,-0.543152,-0.460716,1.404295,-1.484494,-0.124120,0.038189,-1.364209,-0.759658,0.901595,1.199987,0.374569,-0.193154,-0.232675,-0.117092,-0.202563,0.284133
0.276337,-0.673614,-0.570012,0.424724,-0.241381,-0.040408,0.372318,0.040090,0.220256,1.427569,1.221628,-1.427051,0.760206,-0.542132,-0.462268,1.408571,-1.482960,-0.123644,0.036543,-1.356901,-0.768540,0.912878,1.197965,0.369529,-0.185507,-0.232105,-0.115917,-0.207398,0.280736
0.274984,-0.675596,-0.569091,0.421453,-0.239789,-0.040279,0.371908,0.041180,0.225045,1.434272,1.222886,-1.414893,0.756770,-0.540946,-0.463976,1.413114,-1.481273,-0.123142,0.034729,-1.348524,-0.778316,0.925357,1.195729,0.363979,-0.177066,-0.231434,-0.114624,-0.212763,0.276996
0.272284,-0.677586,-0.567247,0.416927,-0.238089,-0.040004,0.371076,0.042383,0.231226,1.443602,1.224753,-1.397780,0.752431,-0.539066,-0.466083,1.417664,-1.479212,-0.122662,0.032458,-1.335941,-0.790350,0.941270,1.192883,0.357112,-0.166438,-0.230327,-0.113047,-0.219734,0.272372
0.269001,-0.679428,-0.564997,0.411913,-0.236480,-0.039654,0.370052,0.043534,0.237852,1.453960,1.226873,-1.378699,0.747836,-0.536889,-0.468278,1.421872,-1.477082,-0.122225,0.030069,-1.321600,-0.802867,0.958214,1.189856,0.349942,-0.155209,-0.229032,-0.111418,-0.227237,0.267549
0.264553,-0.680975,-0.561936,0.405924,-0.235053,-0.039155,0.368644,0.044580,0.245372,1.466374,1.229498,-1.355680,0.742731,-0.534121,-0.470647,1.425396,-1.474813,-0.121875,0.027443,-1.303740,-0.816347,0.977223,1.186466,0.342166,-0.142777,-0.227363,-0.109686,-0.235803,0.262326
0.258902,-0.681859,-0.558008,0.398802,-0.234203,-0.038431,0.366790,0.045213,0.253718,1.481188,1.232724,-1.328041,0.737269,-0.530660,-0.473037,1.427411,-1.472597,-0.121684,0.024689,-1.281727,-0.829864,0.997924,1.182788,0.334250,-0.129566,-0.225267,-0.108003,-0.245410,0.257026
0.252649,-0.682412,-0.553645,0.391112,-0.233641,-0.037596,0.364712,0.045638,0.262477,1.497202,1.236251,-1.298091,0.731628,-0.526854,-0.475439,1.428671,-1.470407,-0.121572,0.021873,-1.257637,-0.843400,1.019472,1.178966,0.326264,-0.115965,-0.222958,-0.106344,-0.255539,0.251688
0.239851,-0.680093,-0.543462,0.380208,-0.234659,-0.032514,0.358907,0.044963,0.272746,1.519617,1.241893,-1.257206,0.725586,-0.519558,-0.478114,1.423792,-1.468111,-0.122627,0.018919,-1.221199,-0.856826,1.044724,1.175015,0.318748,-0.101219,-0.218740,-0.104958,-0.269084,0.246891
0.224464,-0.676754,-0.531370,0.368529,-0.236172,-0.025384,0.351910,0.044095,0.283316,1.543785,1.248107,-1.212529,0.719467,-0.511505,-0.480721,1.416494,-1.465897,-0.123984,0.015962,-1.180312,-0.869998,1.070344,1.170955,0.311273,-0.086376,-0.213953,-0.103600,-0.282905,0.242107
0.203899,-0.671377,-0.515460,0.355302,-0.238679,-0.014158,0.342527,0.042842,0.294488,1.571461,1.255468,-1.160265,0.713196,-0.501942,-0.483193,1.404354,-1.463846,-0.125942,0.012996,-1.130529,-0.882665,1.096699,1.166676,0.303881,-0.071336,-0.208025,-0.102300,-0.297274,0.237351
0.183353,-0.666006,-0.502314,0.343828,-0.241556,-0.001072,0.334986,0.042294,0.304859,1.597294,1.261788,-1.104378,0.707160,-0.495801,-0.484436,1.390145,-1.463512,-0.126711,0.010318,-1.078048,-0.893292,1.118119,1.161577,0.295655,-0.057944,-0.202981,-0.100593,-0.306211,0.231330
0.162816,-0.660638,-0.490549,0.333231,-0.244617,0.012944,0.328366,0.042100,0.314831,1.622206,1.267588,-1.046679,0.701242,-0.491371,-0.485063,1.374902,-1.464036,-0.126883,0.007782,-1.024218,-0.902898,1.137072,1.156068,0.287013,-0.045376,-0.198379,-0.098682,-0.312431,0.224677
0.142827,-0.655339,-0.482867,0.325300,-0.248723,0.032135,0.323589,0.043228,0.323312,1.643712,1.271944,-0.982556,0.696177,-0.489802,-0.485097,1.353579,-1.472196,-0.123434,0.005823,-0.965160,-0.910900,1.150280,1.149082,0.277055,-0.035619,-0.194961,-0.095782,-0.314598,0.215456
0.120358,-0.648872,-0.473593,0.316604,-0.253568,0.052995,0.319936,0.043465,0.332433,1.666542,1.276312,-0.919675,0.689373,-0.487950,-0.485260,1.329037,-1.480688,-0.119273,0.003208,-0.908490,-0.916084,1.163677,1.141141,0.267348,-0.024046,-0.191522,-0.093706,-0.317137,0.205618
0.092931,-0.640071,-0.461135,0.306376,-0.259889,0.077195,0.318531,0.041917,0.342837,1.692020,1.280703,-0.859278,0.679092,-0.485528,-0.485681,1.298057,-1.489841,-0.113686,-0.000719,-0.856595,-0.915633,1.177454,1.131291,0.258143,-0.008843,-0.188037,-0.093275,-0.320421,0.194545
0.058550,-0.627611,-0.443228,0.293979,-0.267629,0.104893,0.317888,0.035324,0.354875,1.720311,1.285256,-0.802565,0.661126,-0.482455,-0.487682,1.258187,-1.499036,-0.106354,-0.007141,-0.810210,-0.905436,1.191105,1.118935,0.249417,0.011335,-0.184657,-0.094621,-0.324553,0.182309
0.020691,-0.613322,-0.422597,0.280498,-0.276079,0.134341,0.317625,0.026209,0.367731,1.750009,1.289889,-0.747694,0.639317,-0.479055,-0.490472,1.213870,-1.508252,-0.098150,-0.014810,-0.766581,-0.890366,1.204693,1.105327,0.240931,0.034001,-0.181329,-0.096856,-0.329108,0.169492
-0.017352,-0.603008,-0.402726,0.266949,-0.275377,0.159378,0.323059,0.026687,0.380270,1.771459,1.297559,-0.698128,0.615986,-0.482955,-0.497773,1.174601,-1.517699,-0.095116,-0.019722,-0.729580,-0.871975,1.202075,1.094919,0.225823,0.045267,-0.181968,-0.100050,-0.324456,0.157750
-0.053834,-0.594169,-0.384625,0.253356,-0.274188,0.183060,0.328524,0.027759,0.391795,1.791220,1.305681,-0.651104,0.592054,-0.486410,-0.504699,1.136402,-1.527419,-0.091895,-0.024364,-0.695265,-0.852089,1.199657,1.084048,0.210919,0.054336,-0.182782,-0.102863,-0.319763,0.148135
-0.087192,-0.588279,-0.370062,0.239675,-0.272026,0.204027,0.334048,0.030018,0.401292,1.807602,1.314710,-0.609160,0.566921,-0.488978,-0.510878,1.100342,-1.537684,-0.088301,-0.028465,-0.666321,-0.829212,1.197637,1.072250,0.196424,0.059011,-0.183946,-0.104917,-0.314986,0.142771
-0.119438,-0.584003,-0.357105,0.224916,-0.269138,0.222684,0.337572,0.032009,0.408926,1.822264,1.324075,-0.571416,0.540793,-0.489852,-0.514536,1.063932,-1.547692,-0.082697,-0.032832,-0.644069,-0.803360,1.197258,1.057092,0.184761,0.062157,-0.184637,-0.106577,-0.313049,0.139793
-0.151127,-0.580534,-0.344951,0.209619,-0.265887,0.240184,0.340096,0.033868,0.415627,1.836065,1.333609,-0.535772,0.514168,-0.489881,-0.516934,1.027346,-1.557572,-0.076088,-0.037332,-0.625163,-0.776020,1.197700,1.040254,0.174514,0.064538,-0.185092,-0.108039,-0.312531,0.138009
-0.200983,-0.575291,-0.317542,0.187447,-0.256580,0.256133,0.347373,0.033417,0.422644,1.849372,1.344915,-0.500454,0.484037,-0.493613,-0.518267,0.979348,-1.563657,-0.068663,-0.043378,-0.616741,-0.740988,1.202051,1.015972,0.164995,0.069219,-0.183903,-0.118186,-0.319617,0.135601
-0.247631,-0.568982,-0.292408,0.166671,-0.246975,0.271244,0.352610,0.033282,0.429485,1.858668,1.353699,-0.464747,0.450902,-0.494745,-0.519571,0.934530,-1.569175,-0.061220,-0.047125,-0.607144,-0.700719,1.205077,0.989451,0.154214,0.071463,-0.184616,-0.127616,-0.321984,0.134270
-0.287862,-0.560544,-0.271825,0.148688,-0.236771,0.284681,0.353766,0.033775,0.435972,1.859945,1.357435,-0.428264,0.411761,-0.490676,-0.520818,0.896074,-1.573555,-0.053740,-0.046275,-0.595199,-0.649973,1.205453,0.958452,0.140911,0.068832,-0.189135,-0.135612,-0.314913,0.135093
-0.347478,-0.549530,-0.238354,0.129078,-0.226123,0.295840,0.354146,0.028109,0.445739,1.849732,1.356868,-0.386483,0.361343,-0.494841,-0.519965,0.852928,-1.573016,-0.046592,-0.040233,-0.582508,-0.587022,1.208718,0.918551,0.123914,0.067143,-0.190383,-0.147618,-0.299271,0.119459
