body_0_vel_x,body_0_vel_y,body_0_vel_z
-0.015421,-0.199345,-0.173428
-0.041051,-0.150126,-0.191133
-0.092311,-0.051686,-0.226543
-0.080237,-0.063573,-0.119396
-0.074201,-0.069516,-0.065823
-0.043166,-0.030579,-0.064749
-0.021369,-0.015259,-0.055082
0.022223,0.015382,-0.035750
-0.025170,-0.020250,0.016469
-0.048866,-0.038066,0.042579
0.010314,-0.028946,0.029662
-0.006928,-0.029659,0.030133
-0.041413,-0.031085,0.031074
-0.014200,-0.068209,0.008054
-0.000594,-0.086771,-0.003456
-0.049367,-0.090135,0.051498
-0.044487,-0.105992,0.023875
-0.034726,-0.137706,-0.031373
-0.035403,-0.128002,0.042748
-0.035741,-0.123149,0.079808
-0.068429,-0.138311,-0.017080
-0.063357,-0.153346,0.017172
-0.053215,-0.183417,0.085675
-0.112753,-0.178808,0.059783
-0.142522,-0.176504,0.046837
-0.094686,-0.318412,0.225899
-0.153613,-0.327918,0.260990
-0.271468,-0.346929,0.331171
-0.249853,-0.538768,0.514714
-0.239046,-0.634688,0.606485
-0.327709,-0.880664,0.792675
-0.333080,-0.861663,0.833649
-0.343823,-0.823660,0.915597
-0.390468,-0.841395,0.903661
-0.413790,-0.850262,0.897692
-0.225642,-0.765699,0.956835
-0.201893,-0.745940,1.008331
-0.154395,-0.706421,1.111323
-0.140815,-0.613554,1.132844
-0.134025,-0.567121,1.143605
-0.363221,-0.261322,0.679232
-0.378616,-0.367862,0.568717
-0.409405,-0.580941,0.347686
-0.232599,-0.613781,0.259380
-0.144196,-0.630201,0.215228
-0.181146,-0.382047,0.122082
-0.165749,-0.396855,0.112296
-0.134954,-0.426471,0.092724
0.029755,-0.394566,0.083910
0.112109,-0.378613,0.079502
0.251377,-0.271504,0.096978
0.285482,-0.250288,0.097091
0.353694,-0.207857,0.097318
0.344563,-0.263623,0.077111
0.339997,-0.291506,0.067007
0.215929,-0.178735,0.121012
0.229027,-0.154706,0.100737
0.255225,-0.106648,0.060185
0.210836,-0.218275,0.062789
0.188642,-0.274088,0.064090
0.051370,-0.279744,0.002276
0.065968,-0.228228,-0.012086
0.095165,-0.125197,-0.040811
0.002491,-0.208413,-0.006072
-0.043845,-0.250021,0.011297
-0.091832,-0.356796,-0.077668
-0.114417,-0.345798,-0.087793
-0.159588,-0.323800,-0.108043
-0.138049,-0.434880,-0.085270
-0.127280,-0.490420,-0.073884
-0.162334,-0.432249,-0.150794
-0.202019,-0.507856,-0.150456
-0.281389,-0.659071,-0.149780
-0.316899,-0.678255,-0.195460
-0.334654,-0.687847,-0.218300
-0.714240,-1.009111,-0.476528
-0.736721,-1.077044,-0.521667
-0.781682,-1.212909,-0.611944
-0.789878,-1.245131,-0.644807
-0.793977,-1.261243,-0.661238
-0.264916,-1.138748,-1.169497
-0.052521,-1.011952,-1.286457
0.372269,-0.758361,-1.520376
0.382130,-0.594960,-1.482537
0.387061,-0.513260,-1.463617
0.230999,-0.312520,-1.293679
0.184398,-0.344622,-1.204222
0.091195,-0.408826,-1.025307
0.021424,-0.389578,-0.843254
-0.013461,-0.379955,-0.752227
-0.056670,-0.248519,-0.490997
-0.056705,-0.241804,-0.446279
-0.056777,-0.228374,-0.356842
-0.055838,-0.170307,-0.250591
-0.055368,-0.141274,-0.197465
-0.071619,-0.144135,-0.125064
-0.083447,-0.132488,-0.104671
-0.107102,-0.109195,-0.063886
-0.094690,-0.100144,-0.048539
-0.088484,-0.095619,-0.040865
-0.059352,-0.103987,0.016165
-0.059655,-0.109333,0.009603
-0.060260,-0.120023,-0.003521
-0.036561,-0.087761,0.009470
-0.024712,-0.071629,0.015965
0.002024,-0.094857,0.017601
0.013475,-0.074041,0.023614
0.036378,-0.032408,0.035639
0.079422,-0.046055,0.064803
0.100944,-0.052879,0.079384
0.139976,-0.054252,0.123734
0.167286,-0.094610,0.148639
0.221908,-0.175327,0.198449
0.278351,-0.284454,0.335543
0.306573,-0.339017,0.404089
0.243444,-0.600092,0.722744
0.250266,-0.675002,0.823643
0.263908,-0.824822,1.025439
0.306489,-0.905758,1.121575
0.327780,-0.946226,1.169643
0.238645,-1.148329,1.296809
0.240231,-1.208287,1.310990
0.243402,-1.328205,1.339352
0.183372,-1.250495,1.288300
0.153358,-1.211640,1.262773
0.206809,-0.936685,0.831884
0.105987,-0.795028,0.788608
-0.095658,-0.511715,0.702057
0.006337,-0.878613,0.550230
0.057335,-1.062062,0.474316
0.135276,-0.880755,0.348458
0.134239,-0.873550,0.279555
0.132165,-0.859140,0.141748
0.088005,-0.781630,0.137424
0.065925,-0.742875,0.135262
0.062170,-0.558536,0.046531
-0.004730,-0.598592,0.012549
-0.138531,-0.678703,-0.055414
-0.110502,-0.653862,-0.116510
-0.096488,-0.641441,-0.147058
-0.165696,-0.655124,-0.048941
-0.140941,-0.648217,-0.084801
-0.091431,-0.634403,-0.156521
-0.100839,-0.632625,-0.189874
-0.105543,-0.631735,-0.206550
0.017123,-0.578796,-0.300159
0.041862,-0.578548,-0.339529
0.091338,-0.578052,-0.418269
0.050278,-0.573119,-0.526125
0.029747,-0.570652,-0.580053
-0.062878,-0.533034,-0.740865
-0.096357,-0.584198,-0.862607
-0.163314,-0.686527,-1.106089
-0.116842,-0.735966,-1.304677
-0.093606,-0.760685,-1.403970
0.042622,-0.736166,-1.621056
0.056496,-0.680091,-1.576374
0.084243,-0.567942,-1.487011
0.077214,-0.555489,-1.376547
0.073700,-0.549263,-1.321315
0.419390,-0.056148,-1.023523
0.360489,-0.039837,-0.891090
0.242686,-0.007217,-0.626224
0.206532,0.027170,-0.511247
0.188456,0.044364,-0.453758
0.091639,0.022935,-0.325913
0.087748,0.038434,-0.293548
0.079966,0.069433,-0.228816
0.058956,-0.003017,-0.179918
0.048451,-0.039243,-0.155469
0.017896,0.000823,-0.126908
-0.001025,-0.013399,-0.113662
-0.038867,-0.041842,-0.087172
-0.016799,-0.030167,-0.048648
-0.005765,-0.024329,-0.029385
-0.031049,-0.015367,-0.015881
-0.021670,-0.020901,-0.010895
-0.002911,-0.031968,-0.000923
-0.013368,-0.037085,-0.001611
-0.018597,-0.039643,-0.001955
-0.010972,-0.045025,0.037023
-0.010917,-0.063230,0.043761
-0.010808,-0.099639,0.057238
-0.205414,-0.170819,0.158727
-0.302718,-0.206409,0.209471
0.131214,-0.066404,0.133909
0.069840,-0.125458,0.161423
-0.052907,-0.243566,0.216451
0.049398,-0.191081,0.265226
0.100551,-0.164838,0.289614
0.131364,-0.085759,0.391714
0.088303,-0.115614,0.418134
0.002182,-0.175323,0.470973
0.090663,-0.076218,0.567458
0.134904,-0.026665,0.615700
0.230534,0.002446,0.944885
0.232804,-0.002079,0.963516
0.237343,-0.011129,1.000779
0.249126,0.043311,1.153471
0.255017,0.070531,1.229818
0.268106,0.075710,1.170064
0.266104,0.072334,1.178036
0.262098,0.065582,1.193982
0.281138,0.055087,1.140295
0.290658,0.049839,1.113451
0.290430,0.017045,0.948420
0.294833,0.051363,0.903528
0.303640,0.119998,0.813743
0.298247,-0.004256,0.461318
0.295551,-0.066383,0.285106
0.328374,-0.174873,0.183375
0.379510,-0.120754,0.215984
0.481782,-0.012517,0.281201
0.524378,0.051966,0.144290
0.545676,0.084207,0.075835
0.390494,0.161240,0.062165
0.370836,0.168679,0.055300
0.331521,0.183556,0.041571
-0.002961,0.145733,-0.079744
-0.170202,0.126822,-0.140401
0.177591,0.095079,0.012394
0.125637,0.081882,0.004033
0.021729,0.055490,-0.012687
0.084839,0.010366,0.008307
0.116394,-0.012195,0.018804
0.038302,-0.046037,0.007178
0.056643,-0.073596,0.001941
0.093327,-0.128714,-0.008531
0.047483,-0.131811,0.013017
0.024562,-0.133359,0.023791
0.114884,-0.234632,-0.020728
0.084662,-0.240114,-0.041559
0.024219,-0.251076,-0.083220
0.041642,-0.296538,-0.155787
0.050354,-0.319269,-0.192071
0.056076,-0.361605,-0.414239
0.141108,-0.302081,-0.452995
0.311172,-0.183034,-0.530509
0.175421,-0.302253,-0.707405
0.107546,-0.361862,-0.795853
0.110965,-0.175066,-0.989220
0.129240,-0.119705,-1.001385
0.165789,-0.008984,-1.025714
0.265453,0.040240,-1.136734
0.315285,0.064852,-1.192244
0.542607,0.043166,-1.377956
0.532267,0.043857,-1.349800
0.511587,0.045240,-1.293488
0.497243,0.143220,-1.079518
0.490072,0.192211,-0.972532
0.414255,0.254788,-0.742644
0.310621,0.224853,-0.697217
0.103354,0.164981,-0.606363
0.006013,0.182934,-0.525417
-0.042658,0.191910,-0.484943
-0.083556,0.143609,-0.309504
-0.121226,0.130858,-0.288314
-0.196567,0.105357,-0.245935
-0.135584,0.094671,-0.205024
-0.105093,0.089328,-0.184569
-0.102010,0.078042,-0.149893
-0.108864,0.089161,-0.155778
-0.122573,0.111401,-0.167547
-0.106819,0.087082,-0.111616
-0.098941,0.074923,-0.083651
-0.034254,0.151184,-0.152914
-0.038717,0.134292,-0.130008
-0.047643,0.100508,-0.084196
-0.030077,0.115867,-0.056792
-0.021293,0.123546,-0.043090
-0.016222,0.052042,-0.001445
-0.029066,0.068761,-0.018159
