body_0_w,body_0_x,body_0_y,body_0_z
0.049703,0.042369,-0.015857,-0.997739
0.052553,0.042241,-0.014690,-0.997616
0.054446,0.041042,-0.012207,-0.997598
0.056995,0.039800,-0.009677,-0.997534
0.060855,0.038474,-0.007054,-0.997380
0.064542,0.037223,-0.004600,-0.997210
0.068143,0.036010,-0.002230,-0.997023
0.070565,0.037116,-0.000100,-0.996816
0.073019,0.038073,0.001924,-0.996602
0.075541,0.038736,0.003736,-0.996383
0.077354,0.039454,0.005111,-0.996210
0.078813,0.040201,0.006269,-0.996059
0.080511,0.040845,0.006923,-0.995892
0.081868,0.041308,0.007586,-0.995758
0.082543,0.041409,0.008267,-0.995693
0.083650,0.041674,0.008902,-0.995584
0.084973,0.042020,0.009514,-0.995451
0.087186,0.042542,0.010503,-0.995228
0.089286,0.043043,0.011651,-0.995007
0.091161,0.043501,0.013117,-0.994799
0.093271,0.043820,0.014492,-0.994570
0.095498,0.044069,0.015821,-0.994328
0.097168,0.043971,0.016861,-0.994153
0.099113,0.043918,0.017959,-0.993944
0.101608,0.043954,0.019173,-0.993668
0.104163,0.043939,0.020295,-0.993382
0.106749,0.043897,0.021371,-0.993087
0.109122,0.044931,0.022671,-0.992754
0.111675,0.045747,0.024202,-0.992396
0.114589,0.046127,0.026196,-0.991996
0.117885,0.046879,0.028233,-0.991518
0.121370,0.047815,0.030290,-0.990992
0.124665,0.049666,0.032674,-0.990416
0.128449,0.051736,0.034906,-0.989750
0.133216,0.054245,0.036835,-0.988916
0.139628,0.057028,0.038783,-0.987799
0.146856,0.059947,0.040740,-0.986499
0.158362,0.063512,0.040926,-0.984486
0.172095,0.067242,0.040452,-0.981950
0.190279,0.071302,0.038654,-0.978374
0.214553,0.075740,0.035597,-0.973120
0.241748,0.080326,0.031891,-0.966483
0.283376,0.093031,0.026394,-0.954121
0.320768,0.104029,0.021093,-0.941191
0.350441,0.111860,0.016261,-0.929739
0.371664,0.116309,0.011380,-0.920982
0.388678,0.119071,0.006476,-0.913625
0.403980,0.123640,0.002104,-0.906371
0.417535,0.127356,-0.001258,-0.899691
0.427778,0.129424,-0.002599,-0.894566
0.435612,0.131262,-0.003148,-0.890507
0.442241,0.132985,-0.003301,-0.886977
0.446365,0.134687,-0.002963,-0.884652
0.450311,0.136409,-0.002518,-0.882387
0.453912,0.138176,-0.001861,-0.880266
0.457480,0.138974,-0.002001,-0.878290
0.461028,0.139287,-0.002539,-0.876382
0.464287,0.139532,-0.003214,-0.874619
0.467123,0.139560,-0.003899,-0.873100
0.469121,0.139159,-0.004602,-0.872089
0.470996,0.139251,-0.005140,-0.871060
0.472808,0.139588,-0.005595,-0.870021
0.474077,0.139648,-0.006213,-0.869316
0.475568,0.139804,-0.006777,-0.868472
0.477505,0.140153,-0.007231,-0.867349
0.480098,0.140532,-0.007642,-0.865851
0.483014,0.140925,-0.008030,-0.864160
0.487009,0.141546,-0.008323,-0.861811
0.491234,0.142242,-0.008473,-0.859293
0.495927,0.143093,-0.008337,-0.856453
0.501516,0.144623,-0.007442,-0.852942
0.507535,0.146489,-0.006167,-0.849065
0.515700,0.149765,-0.004278,-0.843567
0.524416,0.152855,-0.002662,-0.837625
0.534275,0.155584,-0.001589,-0.830868
0.543646,0.159379,-0.000424,-0.824043
0.552731,0.163696,0.000786,-0.817124
0.563557,0.167077,0.001891,-0.809002
0.574538,0.169698,0.002997,-0.800687
0.585932,0.170831,0.004104,-0.792138
0.599371,0.167570,0.004145,-0.782724
0.613704,0.162075,0.003652,-0.772713
0.631236,0.150216,-0.002371,-0.760901
0.648908,0.135284,-0.008628,-0.748694
0.667098,0.114266,-0.015352,-0.735995
0.681610,0.085204,-0.017453,-0.726528
0.693756,0.052061,-0.017229,-0.718119
0.705609,0.007166,-0.020333,-0.708273
0.717294,-0.038413,-0.026292,-0.695214
0.729961,-0.085293,-0.037997,-0.677081
0.737676,-0.121397,-0.049697,-0.662289
0.742820,-0.152079,-0.061381,-0.649094
0.747447,-0.162282,-0.071266,-0.640241
0.751247,-0.172850,-0.080204,-0.631916
0.753653,-0.184202,-0.087270,-0.624869
0.755580,-0.195127,-0.092238,-0.618479
0.757221,-0.205825,-0.096150,-0.612379
0.759140,-0.205517,-0.095551,-0.610196
0.760758,-0.202072,-0.094314,-0.609523
0.761732,-0.192340,-0.091796,-0.611836
0.762935,-0.179994,-0.086853,-0.614808
0.764129,-0.166313,-0.080684,-0.618011
0.765126,-0.151935,-0.073929,-0.621315
0.765820,-0.137864,-0.067658,-0.624448
0.766135,-0.124451,-0.062373,-0.627422
0.765443,-0.114319,-0.057148,-0.630684
0.764231,-0.105826,-0.051952,-0.634077
0.762534,-0.098091,-0.050573,-0.637466
0.761856,-0.089877,-0.049655,-0.639556
0.763270,-0.080709,-0.049662,-0.639092
0.765735,-0.072276,-0.049359,-0.637173
0.768696,-0.064208,-0.048898,-0.634502
0.772474,-0.056266,-0.048211,-0.630709
0.776764,-0.047908,-0.047476,-0.626170
0.782120,-0.038719,-0.046647,-0.620172
0.788461,-0.030071,-0.046043,-0.612622
0.795209,-0.021691,-0.045547,-0.604233
0.803881,-0.012669,-0.045758,-0.592892
0.813879,-0.003933,-0.046374,-0.579167
0.826604,0.004229,-0.047804,-0.560734
0.841264,0.010963,-0.050198,-0.538177
0.856422,0.016976,-0.053044,-0.513263
0.875221,0.018683,-0.057800,-0.479894
0.893533,0.018504,-0.061461,-0.444385
0.911932,0.014572,-0.063000,-0.405213
0.930270,0.009157,-0.064006,-0.361134
0.947187,0.002989,-0.064649,-0.314083
0.963340,-0.002479,-0.068003,-0.259511
0.975717,-0.007733,-0.071838,-0.206774
0.984237,-0.012563,-0.076895,-0.158767
0.989070,-0.015426,-0.083709,-0.120401
0.991870,-0.017301,-0.091383,-0.086850
0.992557,-0.017338,-0.103111,-0.062432
0.992329,-0.017285,-0.114959,-0.042068
0.991286,-0.017071,-0.127151,-0.029877
0.990341,-0.016199,-0.136072,-0.021150
0.989456,-0.014998,-0.143357,-0.014155
0.988969,-0.013446,-0.147181,-0.009908
0.988459,-0.012092,-0.150884,-0.006007
0.987950,-0.011136,-0.154349,-0.002797
0.987565,-0.010051,-0.156889,-0.000902
0.987244,-0.008902,-0.158967,0.000335
0.986939,-0.007984,-0.160876,0.002568
0.986616,-0.007259,-0.162837,0.004527
0.986268,-0.006918,-0.164902,0.005935
0.986036,-0.006342,-0.166325,0.005437
0.985860,-0.005648,-0.167427,0.003986
0.985630,-0.004600,-0.168792,0.004594
0.985381,-0.003822,-0.170244,0.005222
0.985095,-0.003583,-0.171874,0.005889
0.984857,-0.003168,-0.173230,0.006154
0.984643,-0.002666,-0.174450,0.006220
0.984633,-0.002060,-0.174488,0.006929
0.984581,-0.001589,-0.174749,0.007743
0.984448,-0.001387,-0.175453,0.008770
0.984493,-0.000933,-0.175203,0.008782
0.984627,-0.000353,-0.174474,0.008287
0.984838,0.000441,-0.173334,0.006982
0.985132,0.001284,-0.171706,0.005452
0.985590,0.002225,-0.169102,0.003474
0.986213,0.003601,-0.165436,0.001174
0.986901,0.005194,-0.161236,-0.001288
0.987827,0.009162,-0.155278,-0.001422
0.988988,0.014331,-0.147296,-0.001205
0.990568,0.021898,-0.135259,-0.000285
0.991826,0.033395,-0.123129,0.002188
0.992709,0.046850,-0.110925,0.005436
0.992885,0.060316,-0.101787,0.013431
0.992708,0.073146,-0.092962,0.023192
0.992120,0.084719,-0.084794,0.036485
0.991459,0.088771,-0.080867,0.050888
0.990699,0.089058,-0.079054,0.065840
0.988637,0.093297,-0.078635,0.087799
0.985935,0.095581,-0.079008,0.112045
0.982223,0.093979,-0.080984,0.140878
0.978473,0.089632,-0.079099,0.168228
0.974353,0.083882,-0.075257,0.194772
0.968536,0.081521,-0.076904,0.222213
0.962159,0.079724,-0.079861,0.248023
0.955568,0.079134,-0.085508,0.270768
0.950008,0.078267,-0.088090,0.289134
0.944923,0.077258,-0.089137,0.305296
0.940512,0.076624,-0.084262,0.320103
0.936783,0.075203,-0.077581,0.332812
0.934711,0.072230,-0.067313,0.341420
0.931712,0.069064,-0.059015,0.351654
0.928156,0.065795,-0.051695,0.362665
0.925049,0.061825,-0.043395,0.372261
0.922157,0.057363,-0.035015,0.380934
0.919883,0.051928,-0.026488,0.387838
0.917748,0.045322,-0.018095,0.394153
0.915608,0.038127,-0.009769,0.400142
0.914952,0.029317,-0.001426,0.402493
0.914882,0.019793,0.005997,0.403192
0.916116,0.008846,0.011575,0.400648
0.916472,-0.001837,0.015712,0.399787
0.916341,-0.012387,0.019127,0.399749
0.917445,-0.023942,0.018220,0.396722
0.918339,-0.035048,0.018180,0.393820
0.918963,-0.045256,0.019879,0.391234
0.920263,-0.054739,0.021163,0.386875
0.921848,-0.063856,0.022237,0.381607
0.923967,-0.071432,0.022790,0.375051
0.925952,-0.077925,0.021799,0.368869
0.927790,-0.082263,0.017726,0.363489
0.929317,-0.083633,0.012701,0.359463
0.930677,-0.083517,0.007201,0.356110
0.931404,-0.084288,-0.001077,0.354091
0.931816,-0.083924,-0.007462,0.353016
0.931699,-0.081300,-0.010064,0.353872
0.931385,-0.077415,-0.011038,0.355537
0.930958,-0.072897,-0.011200,0.357600
0.930646,-0.069437,-0.011779,0.359078
0.930555,-0.066347,-0.012007,0.359889
0.930925,-0.063999,-0.011532,0.359374
0.931406,-0.063046,-0.011474,0.358296
0.931944,-0.062791,-0.011625,0.356936
0.931902,-0.062493,-0.011955,0.357085
0.931806,-0.062038,-0.012267,0.357406
0.931599,-0.061269,-0.012543,0.358068
0.931394,-0.060878,-0.012969,0.358652
0.931190,-0.060675,-0.013471,0.359196
0.930743,-0.060649,-0.012966,0.360377
0.930423,-0.060943,-0.012906,0.361153
0.930362,-0.061875,-0.013737,0.361123
0.930253,-0.062655,-0.014729,0.361230
0.930120,-0.063358,-0.015802,0.361405
0.929072,-0.062203,-0.017169,0.364228
0.927988,-0.061495,-0.018206,0.367049
0.926846,-0.061686,-0.018583,0.369873
0.926775,-0.060194,-0.017881,0.370332
0.927236,-0.057861,-0.016638,0.369607
0.925332,-0.059498,-0.016234,0.374107
0.923309,-0.060686,-0.015640,0.378911
0.921063,-0.060977,-0.014667,0.384330
0.918529,-0.063001,-0.013681,0.390061
0.915823,-0.065889,-0.012688,0.395937
0.912201,-0.068647,-0.011082,0.403798
0.907975,-0.071596,-0.009107,0.412762
0.902563,-0.074927,-0.006393,0.423940
0.895589,-0.078780,-0.002948,0.437841
0.887645,-0.082877,0.000863,0.453010
0.876218,-0.087272,0.006767,0.473898
0.862567,-0.091955,0.012345,0.497363
0.844680,-0.097232,0.017269,0.526083
0.823999,-0.103314,0.022458,0.556640
0.801192,-0.109705,0.027758,0.587611
0.772539,-0.117867,0.030453,0.623188
0.740066,-0.126111,0.032427,0.659809
0.701151,-0.134682,0.033001,0.699399
0.657692,-0.140173,0.032780,0.739404
0.610644,-0.143833,0.032094,0.778072
0.563175,-0.140407,0.034520,0.813589
0.515468,-0.133883,0.039191,0.845477
0.469498,-0.121702,0.048480,0.873161
0.423941,-0.102656,0.060078,0.897845
0.377911,-0.080021,0.072722,0.919506
0.344123,-0.059057,0.089794,0.932753
0.315864,-0.040149,0.104870,0.942136
0.299703,-0.025535,0.116220,0.946583
0.290208,-0.013308,0.127248,0.948372
0.284040,-0.002274,0.138110,0.948811
0.279085,0.009764,0.142288,0.949616
0.273604,0.019440,0.145741,0.950538
0.267144,0.024395,0.147780,0.951945
0.258517,0.026187,0.145004,0.954703
0.248785,0.026396,0.139807,0.958052
0.239259,0.024225,0.137828,0.960818
0.229409,0.021903,0.136381,0.963479
0.218936,0.019280,0.136012,0.966021
0.209207,0.017025,0.135116,0.968342
0.199841,0.014953,0.133952,0.970514
0.191683,0.011891,0.133424,0.972273
0.183610,0.008737,0.132743,0.973956
0.175722,0.005401,0.131768,0.975566
0.167238,0.002016,0.129922,0.977317
0.158445,-0.001392,0.127632,0.979083
0.151619,-0.003630,0.126364,0.980322
0.144170,-0.005959,0.124982,0.981610
0.135482,-0.008470,0.123376,0.983032
0.127471,-0.010355,0.122429,0.984203
0.119797,-0.011927,0.121807,0.985226
