joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.038570,0.053876,0.004539,0.005808,-0.047033,0.003706,0.288321,-0.292670,-0.014696,0.209206,0.161300,-0.659430,-0.636444,-0.235280,-0.177687,1.098139,-1.144706,-0.032917,0.122333,-0.328311,0.380762,1.221027,1.222508,-0.251348,0.248234,-0.179443,-0.161530,0.274943,-0.202132
0.053885,0.056530,0.011322,0.008777,-0.049284,0.001506,0.308237,-0.288450,-0.018806,0.200258,0.171532,-0.877044,-0.853406,-0.238001,-0.184502,1.055627,-1.125051,-0.029217,0.123925,-0.543901,0.604995,1.093815,1.083257,-0.181121,0.179613,-0.218620,-0.195026,0.291008,-0.202484
0.050983,0.042987,0.006834,0.014958,-0.050122,0.001608,0.321043,-0.288376,-0.017826,0.202788,0.186197,-1.030625,-1.013887,-0.234061,-0.176993,0.982694,-1.066639,-0.020600,0.126344,-0.712950,0.780017,0.903587,0.867888,-0.160755,0.157318,-0.255171,-0.227789,0.230865,-0.162447
0.043343,0.026274,0.000946,0.020683,-0.049657,0.001534,0.330302,-0.287046,-0.018346,0.208427,0.200405,-1.162825,-1.151137,-0.228753,-0.168723,0.910405,-1.008992,-0.013192,0.127838,-0.854627,0.928262,0.727941,0.658443,-0.153836,0.142448,-0.283773,-0.251793,0.174096,-0.123330
0.026226,0.003223,-0.007744,0.025497,-0.046586,0.001111,0.332472,-0.283203,-0.021867,0.220285,0.213702,-1.252267,-1.241926,-0.220712,-0.158928,0.839404,-0.952878,-0.008204,0.127483,-0.941563,1.022954,0.581461,0.460845,-0.173813,0.142431,-0.296478,-0.258282,0.124078,-0.086052
0.008557,-0.014069,-0.012515,0.026070,-0.042733,0.001686,0.319371,-0.276093,-0.025417,0.233768,0.224391,-1.314540,-1.309127,-0.218500,-0.153143,0.774844,-0.904315,-0.005837,0.128137,-0.995330,1.082752,0.482887,0.317367,-0.173657,0.132036,-0.302272,-0.261846,0.087174,-0.052651
-0.009389,-0.028482,-0.015328,0.024522,-0.038489,0.002761,0.298635,-0.267349,-0.028980,0.248065,0.233776,-1.363230,-1.364533,-0.219203,-0.149364,0.713504,-0.859528,-0.004781,0.129296,-1.032513,1.125103,0.408265,0.200950,-0.163435,0.116452,-0.304610,-0.263947,0.056826,-0.021188
-0.018284,-0.033838,-0.017026,0.020279,-0.035252,0.004759,0.288208,-0.262335,-0.023001,0.254942,0.237772,-1.389905,-1.386187,-0.219103,-0.147521,0.681897,-0.845563,-0.005443,0.131757,-1.033930,1.133746,0.361445,0.129217,-0.172563,0.132839,-0.305092,-0.263105,0.049671,-0.010152
-0.025592,-0.037876,-0.017690,0.016679,-0.032435,0.006637,0.279603,-0.257801,-0.019532,0.260423,0.240719,-1.411020,-1.401420,-0.218601,-0.146021,0.656245,-0.833881,-0.006223,0.133877,-1.036414,1.141060,0.316489,0.064176,-0.180147,0.150256,-0.305954,-0.262744,0.042480,0.000767
-0.029726,-0.039280,-0.016290,0.014367,-0.030457,0.008273,0.274643,-0.254227,-0.021087,0.263110,0.241566,-1.421013,-1.403813,-0.217297,-0.145203,0.642503,-0.826766,-0.007239,0.135317,-1.041033,1.145715,0.275262,0.012520,-0.184639,0.169733,-0.307577,-0.263345,0.035217,0.011454
-0.030527,-0.037948,-0.013896,0.012047,-0.029154,0.009070,0.269757,-0.252719,-0.021887,0.261961,0.240012,-1.426337,-1.402855,-0.216468,-0.144178,0.636966,-0.825697,-0.008619,0.137112,-1.041883,1.145828,0.235437,-0.032344,-0.194462,0.190546,-0.308973,-0.262275,0.029516,0.022823
-0.029662,-0.035248,-0.011006,0.009722,-0.028190,0.009449,0.264909,-0.252243,-0.022310,0.258895,0.237256,-1.429327,-1.400220,-0.215877,-0.143051,0.635532,-0.827650,-0.010181,0.139084,-1.040849,1.143672,0.196314,-0.073812,-0.206950,0.212028,-0.310256,-0.260370,0.024596,0.034535
-0.027021,-0.031634,-0.008080,0.008612,-0.028200,0.009418,0.262845,-0.252859,-0.022583,0.255196,0.235247,-1.427675,-1.395160,-0.214949,-0.142863,0.639744,-0.832268,-0.010687,0.139972,-1.038091,1.139240,0.162529,-0.106150,-0.221090,0.229869,-0.309421,-0.257218,0.019037,0.045179
-0.024373,-0.027640,-0.005466,0.007776,-0.027972,0.009441,0.260578,-0.253498,-0.023105,0.251586,0.232544,-1.424648,-1.389078,-0.213975,-0.142679,0.645225,-0.837938,-0.011176,0.140525,-1.035194,1.134847,0.131389,-0.135864,-0.236618,0.246627,-0.307840,-0.253572,0.013111,0.054645
-0.021708,-0.022887,-0.003480,0.007490,-0.027267,0.009570,0.257904,-0.254185,-0.024124,0.248155,0.228454,-1.418871,-1.380949,-0.212906,-0.142500,0.653244,-0.845712,-0.011629,0.140405,-1.032020,1.130532,0.105541,-0.160331,-0.254923,0.261216,-0.304765,-0.248939,0.006450,0.061754
-0.019087,-0.019590,-0.001604,0.007043,-0.027208,0.009946,0.255960,-0.254672,-0.025283,0.243589,0.225592,-1.412485,-1.370989,-0.212016,-0.142301,0.663753,-0.853853,-0.012268,0.140870,-1.029117,1.126058,0.084565,-0.179793,-0.272520,0.277479,-0.301162,-0.244115,0.000479,0.066663
-0.016487,-0.017020,0.000217,0.006514,-0.027473,0.010446,0.254382,-0.255058,-0.026512,0.238456,0.223345,-1.405794,-1.360114,-0.211217,-0.142091,0.675507,-0.862178,-0.013000,0.141628,-1.026350,1.121505,0.066026,-0.196753,-0.289763,0.294578,-0.297295,-0.239197,-0.005146,0.070472
