body_0_angvel_x,body_0_angvel_y,body_0_angvel_z
-0.538484,-0.541619,1.780169
-0.399306,-0.683607,1.624982
-0.320751,-0.558121,1.456149
-0.165447,-0.306005,1.118683
-0.072950,-0.238420,0.867853
-0.026700,-0.204326,0.742553
0.049637,-0.165533,0.473681
0.062389,-0.161864,0.456676
0.087916,-0.154392,0.422719
-0.025744,-0.103220,0.401921
-0.082665,-0.077866,0.391459
-0.093732,-0.076326,0.357645
-0.098601,-0.054570,0.308996
-0.108420,-0.011184,0.211650
-0.069156,-0.046634,0.204328
-0.049486,-0.064321,0.200689
-0.069055,-0.043586,0.135072
-0.062957,-0.051171,0.161886
-0.050765,-0.066287,0.215531
-0.054909,-0.071589,0.290897
-0.057000,-0.074225,0.328580
-0.053508,-0.097672,0.455074
-0.040907,-0.099446,0.485183
-0.015749,-0.102848,0.545435
0.069678,-0.132267,0.666855
0.112409,-0.146735,0.727618
0.203607,-0.257892,1.002049
0.162645,-0.262542,1.067194
0.080496,-0.272950,1.197339
0.152673,-0.357809,1.161904
0.189321,-0.399802,1.144301
0.100550,-0.348997,1.351361
0.055277,-0.290765,1.374913
-0.036996,-0.175610,1.421972
-0.413591,0.094446,1.618152
-0.603978,0.226815,1.715966
-1.472968,0.348876,1.986328
-1.687063,0.562089,2.017714
-2.124330,0.981166,2.076748
-2.273733,1.912899,1.631029
-2.360949,2.372713,1.399697
-3.416166,2.977785,1.440752
-3.673148,2.822180,1.652088
-4.175387,2.522538,2.103011
-3.418028,1.745987,1.564732
-3.040271,1.355903,1.303443
-1.383523,0.090980,1.045648
-1.359769,0.170716,0.935288
-1.314307,0.327638,0.712454
-1.154034,0.442788,0.598200
-1.074568,0.500198,0.540094
0.078502,0.089918,0.273392
0.363860,-0.087025,0.157296
0.935357,-0.439176,-0.075686
1.293244,-0.424966,-0.134549
1.472365,-0.417743,-0.163132
1.559347,-0.419369,-0.187207
1.500053,-0.436891,-0.187835
1.381592,-0.471745,-0.190157
1.115801,-0.280287,-0.295199
0.983397,-0.183603,-0.347030
0.678179,-0.429743,-0.340999
0.688825,-0.477587,-0.170017
0.708349,-0.575684,0.171376
0.673416,-0.488057,0.343447
0.655395,-0.444897,0.429695
0.659781,-0.408287,0.565636
0.694290,-0.424161,0.657380
0.762795,-0.456764,0.840991
0.703153,-0.430294,1.021673
0.672845,-0.418021,1.112016
0.671825,-0.497778,1.467347
0.615635,-0.504326,1.736841
0.500956,-0.522845,2.275675
0.308386,-0.514872,2.717758
0.210968,-0.514294,2.938771
-0.306762,-0.451888,3.823603
-0.430843,-0.272331,3.978735
-0.694495,0.077821,4.290776
-0.838999,0.179015,4.727244
-0.913666,0.228061,4.947817
-0.980897,-0.057785,5.640025
-0.961247,-0.135856,5.366774
-0.914136,-0.295177,4.829483
-0.678909,-0.539893,3.839438
-0.554392,-0.661181,3.348277
-0.327437,-1.114470,2.447850
-0.279095,-1.143391,2.040938
-0.171981,-1.201671,1.228823
-0.052779,-0.883969,0.888625
0.006904,-0.724744,0.719035
0.086539,-0.381193,0.447504
0.072093,-0.369759,0.410228
0.043385,-0.346960,0.335591
0.076788,-0.255082,0.206634
0.093559,-0.209061,0.142235
0.054908,-0.191303,0.236828
0.040342,-0.196944,0.206623
0.011352,-0.208263,0.146153
0.065749,-0.144215,-0.038505
0.093093,-0.112141,-0.130773
0.093499,-0.137572,0.078419
0.066634,-0.146737,0.075809
0.012925,-0.165105,0.070497
0.036997,-0.137342,0.033926
0.049053,-0.123449,0.015663
0.047339,-0.003441,0.080376
0.032347,-0.026069,0.088520
0.002400,-0.071356,0.104786
0.044252,0.025869,0.009105
0.065162,0.074504,-0.038719
0.100031,0.116618,-0.114914
0.108386,0.166108,-0.136183
0.125161,0.265111,-0.178641
0.173098,0.372833,-0.202833
0.197132,0.426668,-0.214926
0.394100,0.602524,0.053938
0.507232,0.805575,0.109174
0.733996,1.211447,0.219894
1.103041,1.212886,0.427048
1.288867,1.213346,0.528409
1.242311,0.878940,0.985749
1.163716,0.832788,1.153149
1.010629,0.734950,1.488389
0.271212,0.276837,1.498957
-0.094954,0.042291,1.504748
0.261954,-0.142456,2.226289
0.063624,-0.264205,2.435194
-0.328136,-0.517722,2.852859
-0.639734,-0.163535,2.721736
-0.800294,0.008761,2.655423
-0.355718,-0.480506,2.755518
-0.254811,-0.585758,2.603520
-0.045863,-0.791923,2.302148
-0.125972,-0.463117,1.877696
-0.168132,-0.299837,1.665352
-0.306633,0.287560,1.565891
-0.426059,0.454083,1.353827
-0.671370,0.782107,0.929515
-0.626491,0.573464,1.097621
-0.602461,0.469960,1.182246
-0.698640,0.547230,1.037372
-0.744461,0.542838,0.942413
-0.837108,0.531825,0.753147
-0.938795,0.477358,0.689815
-0.989637,0.449500,0.658681
-1.140357,0.401800,0.264712
-1.170043,0.293692,0.087237
-1.230360,0.073302,-0.264989
-1.145726,-0.048669,-0.077038
-1.103549,-0.108607,0.017644
-1.026997,-0.550933,-0.298239
