body_0_x,body_0_y,body_0_z
0.055224,-0.271585,0.544275
0.054403,-0.274587,0.540453
0.052557,-0.275621,0.535922
0.050952,-0.276892,0.533534
0.049468,-0.278283,0.532218
0.048604,-0.278894,0.530923
0.048177,-0.279199,0.529821
0.048622,-0.278892,0.529106
0.048118,-0.279297,0.529435
0.047141,-0.280058,0.530287
0.047347,-0.280637,0.530880
0.047209,-0.281230,0.531483
0.046380,-0.281852,0.532104
0.046096,-0.283216,0.532265
0.046084,-0.284951,0.532196
0.045097,-0.286754,0.533226
0.044207,-0.288874,0.533704
0.043513,-0.291628,0.533076
0.042805,-0.294188,0.533931
0.042090,-0.296651,0.535527
0.040721,-0.299417,0.535186
0.039454,-0.302484,0.535529
0.038390,-0.306153,0.537243
0.036135,-0.309729,0.538438
0.033284,-0.313259,0.539375
0.031391,-0.319627,0.543893
0.028318,-0.326185,0.549113
0.022889,-0.333124,0.555736
0.017892,-0.343899,0.566031
0.013111,-0.356593,0.578160
0.006557,-0.374206,0.594014
-0.000105,-0.391440,0.610687
-0.006981,-0.407913,0.628999
-0.014790,-0.424741,0.647072
-0.023066,-0.441746,0.665026
-0.027579,-0.457060,0.684162
-0.031617,-0.471979,0.704329
-0.034705,-0.486107,0.726556
-0.037521,-0.498378,0.749212
-0.040202,-0.509721,0.772084
-0.047466,-0.514947,0.785669
-0.055038,-0.522304,0.797043
-0.063227,-0.533923,0.803997
-0.067878,-0.546199,0.809185
-0.070762,-0.558803,0.813489
-0.074385,-0.566444,0.815931
-0.077700,-0.574381,0.818177
-0.080399,-0.582910,0.820031
-0.079804,-0.590802,0.821710
-0.077562,-0.598374,0.823300
-0.072535,-0.603804,0.825239
-0.066825,-0.608810,0.827181
-0.059751,-0.612967,0.829127
-0.052860,-0.618239,0.830670
-0.046060,-0.624069,0.832010
-0.041741,-0.627644,0.834430
-0.037161,-0.630738,0.836445
-0.032056,-0.632871,0.837648
-0.027840,-0.637237,0.838904
-0.024067,-0.642718,0.840186
-0.023039,-0.648313,0.840231
-0.021720,-0.652878,0.839990
-0.019817,-0.655382,0.839174
-0.019767,-0.659550,0.839052
-0.020644,-0.664550,0.839278
-0.022480,-0.671686,0.837725
-0.024769,-0.678602,0.835969
-0.027960,-0.685078,0.833808
-0.030721,-0.693776,0.832103
-0.033267,-0.703584,0.830625
-0.036514,-0.712229,0.827609
-0.040554,-0.722386,0.824600
-0.046182,-0.735568,0.821604
-0.052520,-0.749133,0.817695
-0.059213,-0.762890,0.813329
-0.073498,-0.783072,0.803799
-0.088232,-0.804613,0.793365
-0.103866,-0.828871,0.781126
-0.119663,-0.853774,0.768230
-0.135543,-0.878999,0.755005
-0.140841,-0.901774,0.731615
-0.141892,-0.922013,0.705886
-0.134446,-0.937180,0.675479
-0.126804,-0.949079,0.645828
-0.119062,-0.959344,0.616556
-0.114442,-0.965595,0.590682
-0.110754,-0.972487,0.566598
-0.108931,-0.980664,0.546092
-0.108502,-0.988455,0.529227
-0.108771,-0.996054,0.514182
-0.109905,-1.001025,0.504362
-0.111039,-1.005861,0.495436
-0.112174,-1.010428,0.488300
-0.113291,-1.013834,0.483288
-0.114398,-1.016660,0.479338
-0.115831,-1.019543,0.476837
-0.117500,-1.022192,0.474744
-0.119642,-1.024376,0.473466
-0.121536,-1.026379,0.472495
-0.123305,-1.028292,0.471678
-0.124492,-1.030371,0.472001
-0.125685,-1.032558,0.472193
-0.126891,-1.034958,0.472123
-0.127622,-1.036714,0.472312
-0.128116,-1.038146,0.472632
-0.128076,-1.040043,0.472984
-0.127806,-1.041524,0.473456
-0.127079,-1.042172,0.474169
-0.125490,-1.043093,0.475465
-0.123471,-1.044151,0.477052
-0.120672,-1.045236,0.479527
-0.117326,-1.047128,0.482500
-0.112888,-1.050635,0.486469
-0.107321,-1.056324,0.493180
-0.101189,-1.063104,0.501262
-0.096320,-1.075106,0.515716
-0.091315,-1.088606,0.532189
-0.086037,-1.105103,0.552698
-0.079907,-1.123218,0.575130
-0.073352,-1.142142,0.598522
-0.068579,-1.165109,0.624459
-0.063774,-1.189275,0.650678
