joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel,joint_9_vel,joint_10_vel,joint_11_vel,joint_12_vel,joint_13_vel,joint_14_vel,joint_15_vel,joint_16_vel,joint_17_vel,joint_18_vel,joint_19_vel,joint_20_vel,joint_21_vel,joint_22_vel,joint_23_vel,joint_24_vel,joint_25_vel,joint_26_vel,joint_27_vel,joint_28_vel
0.845958,0.267449,0.290487,0.119476,-0.126241,-0.084552,1.006800,0.118408,-0.153293,-0.422821,0.464264,-11.266803,-11.326048,-0.252254,-0.486447,-0.538975,-0.471182,0.228933,0.076886,-10.256839,10.371497,-5.300592,-5.573157,3.317899,-2.987762,-1.902880,-1.754657,1.473873,-0.881009
0.765728,0.132722,0.339140,0.148429,-0.112520,-0.110016,0.995813,0.211007,-0.205504,-0.447432,0.511609,-10.880719,-10.848123,-0.136089,-0.340743,-2.125608,0.982744,0.185016,0.079610,-10.779533,11.211672,-6.360637,-6.962550,3.511313,-3.431023,-1.958870,-1.674788,0.803250,-0.017590
-0.145081,-0.677189,-0.224375,0.309061,-0.041908,0.005083,0.640253,0.003684,0.049018,0.126488,0.733206,-7.679025,-8.024025,0.197035,0.375429,-3.646651,2.920632,0.430843,0.120963,-8.452404,8.751097,-9.511396,-10.768443,1.018319,-1.114784,-1.827517,-1.638133,-3.007177,2.001838
-0.382000,-0.835636,-0.294407,0.286267,0.023242,-0.003667,0.462995,0.066505,-0.026011,0.281957,0.710424,-6.610034,-6.862502,0.265374,0.413532,-3.614443,2.882326,0.370373,0.074721,-7.083874,7.412264,-8.782272,-10.472260,0.345933,-0.743470,-1.430100,-1.200232,-2.838421,1.955860
-0.855838,-1.152530,-0.434471,0.240678,0.153541,-0.021166,0.108479,0.192146,-0.176069,0.592895,0.664859,-4.472051,-4.539456,0.402054,0.489739,-3.550027,2.805712,0.249432,-0.017762,-4.346813,4.734598,-7.324024,-9.879892,-0.998837,-0.000842,-0.635266,-0.324430,-2.500908,1.863903
-0.883476,-0.864611,-0.238587,0.028640,0.192661,0.028760,-0.655045,0.355501,-0.177459,0.674188,0.534457,-3.113682,-3.360043,0.110585,0.289231,-3.228020,2.428136,0.118345,0.032700,-2.688360,2.989892,-4.928713,-7.173879,0.007797,-0.519761,-0.289693,-0.178184,-1.845224,1.670063
-0.897296,-0.720651,-0.140645,-0.077379,0.212222,0.053723,-1.036807,0.437178,-0.178155,0.714835,0.469256,-2.434498,-2.770336,-0.035149,0.188976,-3.067017,2.239348,0.052802,0.057931,-1.859134,2.117540,-3.731058,-5.820873,0.511115,-0.779220,-0.116906,-0.105061,-1.517382,1.573143
-0.444750,-0.267784,-0.084871,-0.212163,0.161804,0.099934,-0.521338,0.250722,0.298956,0.343871,0.199790,-1.333766,-1.082658,0.005044,0.092120,-1.580341,0.698277,-0.033114,0.123046,-0.070835,0.432165,-2.341024,-3.586663,-0.456424,0.819370,-0.024086,0.042091,-0.357743,0.551775
-0.365396,-0.201917,-0.033241,-0.179976,0.140848,0.093883,-0.430240,0.226705,0.173403,0.274027,0.147322,-1.055723,-0.761662,0.025089,0.075040,-1.282598,0.584092,-0.039011,0.106023,-0.124205,0.365688,-2.247804,-3.252042,-0.379160,0.870859,-0.043114,0.018049,-0.359546,0.545959
-0.206688,-0.070182,0.070020,-0.115601,0.098936,0.081780,-0.248043,0.178670,-0.077703,0.134340,0.042387,-0.499638,-0.119669,0.065180,0.040880,-0.687112,0.355720,-0.050805,0.071976,-0.230945,0.232733,-2.061363,-2.582798,-0.224633,0.973838,-0.081169,-0.030034,-0.363153,0.534327
